tmdb_id,imdb_id,title_year,title,year,runtime_min,avg_rating,bechdel_rating,cluster
351901,tt3957956,12 Rounds 3: Lockdown (2015),12 Rounds 3: Lockdown,2015,90,5.1,Unknown,40
429351,tt1413492,12 Strong (2018),12 Strong,2018,130,6.6,Unknown,40
76203,tt2024544,12 Years a Slave (2013),12 Years a Slave,2013,134,8.1,Pass,69
18164,tt0417385,12 and Holding (2005),12 and Holding,2005,94,7.4,Pass,68
451945,tt6135348,120 BPM (Beats Per Minute) (2017),120 BPM (Beats Per Minute),2017,143,7.4,Unknown,35
44115,tt1542344,127 Hours (2010),127 Hours,2010,94,7.5,Pass,90
24159,tt0809407,12:08 East of Bucharest (2006),12:08 East of Bucharest,2006,89,7.3,Fail,94
44982,tt0798817,13 (2010),13,2010,91,6.0,Unknown,2
58857,tt1436045,13 Assassins (2010),13 Assassins,2010,141,7.5,Fail,93
347751,tt4392454,13 Cameras (2015),13 Cameras,2015,87,5.2,Unknown,4
17734,tt0268690,13 Conversations About One Thing (2001),13 Conversations About One Thing,2001,104,7.0,Unknown,99
29756,tt0053559,13 Ghosts (1960),13 Ghosts,1960,85,6.1,Unknown,18
10096,tt0337563,13 Going on 30 (2004),13 Going on 30,2004,98,6.3,Pass,0
300671,tt4172430,13 Hours (2016),13 Hours,2016,144,7.3,Fail,50
18200,tt0038279,13 Rue Madeleine (1947),13 Rue Madeleine,1947,95,6.9,Unknown,36
6077,tt0475169,13 Tzameti (2005),13 Tzameti,2005,93,7.3,Fail,46
13436,tt0883995,13: Game of Death (2006),13: Game of Death,2006,114,6.7,Unknown,148
19950,tt1385824,13B: Fear Has a New Address (2009),13B: Fear Has a New Address,2009,146,7.4,Unknown,40
407806,tt5895028,13th (2016),13th,2016,100,8.2,Unknown,125
34179,tt1442571,14 Blades (2010),14 Blades,2010,114,6.3,Unknown,93
890825,tt14079374,14 Peaks: Nothing Is Impossible (2021),14 Peaks: Nothing Is Impossible,2021,101,7.7,Unknown,129
3021,tt0450385,1408 (2007),1408,2007,104,6.8,Pass,4
1492,tt0103594,1492: Conquest of Paradise (1992),1492: Conquest of Paradise,1992,154,6.4,Unknown,25
2749,tt0179626,15 Minutes (2001),15 Minutes,2001,120,6.1,Unknown,79
2207,tt0450232,16 Blocks (2006),16 Blocks,2006,102,6.6,Unknown,29
16996,tt0974661,17 Again (2009),17 Again,2009,102,6.4,Pass,0
14902,tt0068156,1776 (1972),1776,1972,141,7.6,Fail,56
38965,tt0094593,18 Again! (1988),18 Again!,1988,93,5.8,Unknown,40
3870,tt0074084,1900 (1976),1900,1976,317,7.6,Unknown,19
530915,tt8579674,1917 (2019),1917,2019,119,8.2,Fail,108
452507,tt6214928,1922 (2017),1922,2017,102,6.2,Fail,76
11519,tt0078723,1941 (1979),1941,1979,118,5.8,Unknown,128
47817,tt0094594,1969 (1988),1969,1988,95,5.8,Unknown,109
1984,tt0048918,1984 (1956),1984,1956,90,6.9,Unknown,24
9314,tt0087803,1984 (1984),1984,1984,113,7.0,Fail,24
611605,tt7541106,1BR (2019),1BR,2019,90,5.8,Unknown,109
9401,tt0115438,2 Days in the Valley (1996),2 Days in the Valley,1996,104,6.5,Pass,23
584,tt0322259,2 Fast 2 Furious (2003),2 Fast 2 Furious,2003,107,6.0,Fail,105
136400,tt1272878,2 Guns (2013),2 Guns,2013,109,6.7,Fail,29
8074,tt0060304,2 or 3 Things I Know About Her (1967),2 or 3 Things I Know About Her,1967,87,6.5,Unknown,63
111794,tt0138987,20 Dates (1998),20 Dates,1998,87,5.6,Unknown,40
159014,tt2396566,20 Feet from Stardom (2013),20 Feet from Stardom,2013,91,7.4,Pass,101
15096,tt0050084,20 Million Miles to Earth (1957),20 Million Miles to Earth,1957,82,6.3,Unknown,84
246400,tt2920540,"20,000 Days on Earth (2014)","20,000 Days on Earth",2014,97,7.4,Unknown,88
30266,tt0006333,"20,000 Leagues Under the Sea (1916)","20,000 Leagues Under the Sea",1916,105,6.1,Unknown,49
173,tt0046672,"20,000 Leagues Under the Sea (1954)","20,000 Leagues Under the Sea",1954,127,7.2,Fail,126
15256,tt0137338,200 Cigarettes (1999),200 Cigarettes,1999,101,6.0,Pass,76
10845,tt0264323,2001 Maniacs (2005),2001 Maniacs,2005,87,5.3,Unknown,140
62,tt0062622,2001: A Space Odyssey (1968),2001: A Space Odyssey,1968,149,8.3,Fail,147
23132,tt0294252,2009: Lost Memories (2002),2009: Lost Memories,2002,136,6.1,Unknown,93
4437,tt0086837,2010: The Year We Make Contact (1984),2010: The Year We Make Contact,1984,116,6.7,Fail,55
14161,tt1190080,2012 (2009),2012,2009,158,5.9,Fail,143
448916,tt4575328,2036 Origin Unknown (2018),2036 Origin Unknown,2018,94,4.3,Unknown,40
844,tt0212712,2046 (2004),2046,2004,129,7.4,Pass,134
528085,tt1918734,2067 (2020),2067,2020,114,4.9,Unknown,102
342737,tt4385888,20th Century Women (2016),20th Century Women,2016,119,7.3,Pass,10
107811,tt1711425,21 & Over (2013),21 & Over,2013,93,5.8,Fail,34
8065,tt0478087,21 (2008),21,2008,123,6.8,Pass,2
535292,tt8688634,21 Bridges (2019),21 Bridges,2019,99,6.7,Unknown,42
470,tt0315733,21 Grams (2003),21 Grams,2003,124,7.6,Pass,78
64688,tt1232829,21 Jump Street (2012),21 Jump Street,2012,109,7.2,Fail,75
500919,tt4976192,211 (2018),211,2018,86,4.4,Unknown,42
37645,tt1167638,22 Bullets (2010),22 Bullets,2010,117,6.6,Fail,29
474354,tt7280898,22 July (2018),22 July,2018,143,6.8,Unknown,83
187017,tt2294449,22 Jump Street (2014),22 Jump Street,2014,112,7.0,Fail,75
1557,tt0126765,23 (1998),23,1998,99,7.1,Unknown,83
2750,tt0274309,24 Hour Party People (2002),24 Hour Party People,2002,117,7.3,Fail,65
470114,tt5442456,24 Hours to Live (2017),24 Hours to Live,2017,93,5.8,Unknown,97
1429,tt0307901,25th Hour (2002),25th Hour,2002,135,7.6,Fail,78
6557,tt0988595,27 Dresses (2008),27 Dresses,2008,111,6.1,Pass,15
10468,tt0191754,28 Days (2000),28 Days,2000,103,6.1,Pass,122
170,tt0289043,28 Days Later (2002),28 Days Later,2002,113,7.5,Pass,85
1562,tt0463854,28 Weeks Later (2007),28 Weeks Later,2007,100,6.8,Pass,87
269795,tt1131724,2:22 (2017),2:22,2017,98,5.7,Unknown,40
2168,tt0472582,2:37 (2006),2:37,2006,91,6.8,Unknown,68
24092,tt0362387,2LDK (2003),2LDK,2003,70,6.8,Pass,108
192102,tt2172934,3 Days to Kill (2014),3 Days to Kill,2014,117,6.2,Pass,60
300667,tt4158624,3 Generations (2015),3 Generations,2015,92,6.0,Unknown,8
29244,tt0040064,3 Godfathers (1948),3 Godfathers,1948,106,7.0,Unknown,80
20453,tt1187043,3 Idiots (2009),3 Idiots,2009,170,8.4,Fail,39
16314,tt0103596,3 Ninjas (1992),3 Ninjas,1992,84,5.4,Unknown,6
18885,tt0109015,3 Ninjas Kick Back (1994),3 Ninjas Kick Back,1994,93,4.6,Unknown,6
32302,tt0118539,3 Ninjas: High Noon at Mega Mountain (1998),3 Ninjas: High Noon at Mega Mountain,1998,93,3.0,Unknown,123
40508,tt0112255,3 Ninjas: Knuckle Up (1995),3 Ninjas: Knuckle Up,1995,85,4.4,Unknown,6
47816,tt0199290,3 Strikes (2000),3 Strikes,2000,82,4.8,Unknown,74
41662,tt0075612,3 Women (1977),3 Women,1977,124,7.7,Pass,106
489064,tt8134742,3 from Hell (2019),3 from Hell,2019,115,5.4,Unknown,140
1280,tt0423866,3-Iron (2004),3-Iron,2004,88,7.9,Fail,106
4513,tt0389722,30 Days of Night (2007),30 Days of Night,2007,113,6.6,Fail,98
62206,tt1622547,30 Minutes or Less (2011),30 Minutes or Less,2011,83,6.0,Fail,34
1271,tt0416449,300 (2006),300,2006,117,7.6,Fail,25
12138,tt0233142,3000 Miles to Graceland (2001),3000 Miles to Graceland,2001,125,6.0,Unknown,110
53182,tt1253863,300: Rise of an Empire (2014),300: Rise of an Empire,2014,102,6.2,Fail,70
54285,tt0112257,"301, 302 (1995)","301, 302",1995,100,6.4,Unknown,100
166666,tt1667355,3096 Tage (2013),3096 Tage,2013,111,6.5,Pass,83
284564,tt3835080,31 (2016),31,2016,103,5.1,Unknown,140
26191,tt1100048,35 Shots of Rum (2008),35 Shots of Rum,2008,100,7.1,Pass,54
89455,tt1680045,360 (2011),360,2011,110,6.1,Unknown,76
664413,tt10886166,365 Days (2020),365 Days,2020,114,3.3,Unknown,144
7291,tt0390808,36th Precinct (2004),36th Precinct,2004,111,7.1,Unknown,67
14168,tt0050086,3:10 to Yuma (1957),3:10 to Yuma,1957,92,7.6,Unknown,80
5176,tt0381849,3:10 to Yuma (2007),3:10 to Yuma,2007,122,7.6,Fail,131
26580,tt0118540,4 Little Girls (1997),4 Little Girls,1997,102,7.8,Unknown,71
2009,tt1032846,"4 Months, 3 Weeks and 2 Days (2007)","4 Months, 3 Weeks and 2 Days",2007,113,7.9,Pass,94
17691,tt0057071,4 for Texas (1963),4 for Texas,1963,124,5.5,Unknown,74
44877,tt1514041,4.3.2.1. (2010),4.3.2.1.,2010,117,5.8,Pass,8
2752,tt0243736,40 Days and 40 Nights (2002),40 Days and 40 Nights,2002,96,5.6,Unknown,72
332502,tt3774790,400 Days (2015),400 Days,2015,91,4.4,Unknown,55
109410,tt0453562,42 (2013),42,2013,128,7.5,Fail,117
3062,tt0024034,42nd Street (1933),42nd Street,1933,89,7.3,Pass,56
29182,tt0914837,44 Inch Chest (2009),44 Inch Chest,2009,95,5.8,Fail,76
311291,tt3544082,45 Years (2015),45 Years,2015,95,7.1,Pass,119
403119,tt2932536,47 Meters Down (2017),47 Meters Down,2017,89,5.6,Pass,123
480105,tt7329656,47 Meters Down: Uncaged (2019),47 Meters Down: Uncaged,2019,90,5.0,Pass,40
64686,tt1335975,47 Ronin (2013),47 Ronin,2013,128,6.2,Fail,70
150,tt0083511,48 Hrs. (1982),48 Hrs.,1982,96,6.9,Fail,29
86820,tt1707391,4:44 Last Day on Earth (2011),4:44 Last Day on Earth,2011,82,4.7,Unknown,102
342672,tt3978720,4th Man Out (2015),4th Man Out,2015,86,6.7,Fail,44
84170,tt2125423,5 Broken Cameras (2011),5 Broken Cameras,2011,94,7.9,Unknown,96
4993,tt0062626,5 Card Stud (1968),5 Card Stud,1968,103,6.5,Unknown,40
38142,tt0983213,5 Centimeters per Second (2007),5 Centimeters per Second,2007,63,7.4,Fail,141
59087,tt0044314,5 Fingers (1952),5 Fingers,1952,108,7.6,Unknown,36
286521,tt2933544,5 Flights Up (2014),5 Flights Up,2014,88,6.2,Pass,41
259954,tt2486678,5 to 7 (2014),5 to 7,2014,95,7.1,Unknown,89
1824,tt0343660,50 First Dates (2004),50 First Dates,2004,99,6.8,Fail,15
40807,tt1306980,50/50 (2011),50/50,2011,100,7.6,Fail,90
19913,tt1022603,500 Days of Summer (2009),500 Days of Summer,2009,95,7.6,Fail,5
18588,tt0090567,52 Pick-Up (1986),52 Pick-Up,1986,110,6.4,Unknown,79
3682,tt0120577,54 (1998),54,1998,93,5.9,Fail,14
27759,tt0056800,55 Days at Peking (1963),55 Days at Peking,1963,154,6.7,Fail,25
116167,tt2147134,56 Up (2012),56 Up,2012,144,7.9,Unknown,10
347984,tt4703048,6 Days (2017),6 Days,2017,94,6.2,Fail,83
41505,tt1179069,6 Souls (2010),6 Souls,2010,112,6.0,Pass,4
509967,tt8106534,6 Underground (2019),6 Underground,2019,128,6.1,Unknown,21
323674,tt3799372,6 Years (2015),6 Years,2015,79,5.5,Unknown,100
15925,tt0057811,633 Squadron (1964),633 Squadron,1964,102,6.4,Unknown,137
700391,tt12261776,65 (2023),65,2023,93,5.4,Unknown,21
33253,tt0235154,6ixtynin9 (1999),6ixtynin9,1999,118,7.2,Pass,23
127847,tt2333598,7 Boxes (2012),7 Boxes,2012,105,7.1,Unknown,116
433627,tt5466186,7 Days in Entebbe (2018),7 Days in Entebbe,2018,107,5.9,Unknown,100
14241,tt0057812,7 Faces of Dr. Lao (1964),7 Faces of Dr. Lao,1964,100,7.1,Unknown,82
26502,tt0049743,7 Men from Now (1956),7 Men from Now,1956,78,7.4,Unknown,80
32764,tt0109020,71 Fragments of a Chronology of Chance (1994),71 Fragments of a Chronology of Chance,1994,100,7.1,Unknown,63
51200,tt1587729,71: Into the Fire (2010),71: Into the Fire,2010,120,7.3,Unknown,50
509585,tt6436726,7500 (2019),7500,2019,93,6.3,Fail,76
359749,tt4372240,78/52 (2017),78/52,2017,91,7.3,Unknown,62
13982,tt0118541,8 Heads in a Duffel Bag (1997),8 Heads in a Duffel Bag,1997,95,5.4,Unknown,23
65,tt0298203,8 Mile (2002),8 Mile,2002,110,7.2,Fail,101
20858,tt0090568,8 Million Ways to Die (1986),8 Million Ways to Die,1986,115,5.8,Unknown,29
18069,tt0109021,8 Seconds (1994),8 Seconds,1994,105,6.6,Unknown,122
1958,tt0283832,8 Women (2002),8 Women,2002,111,7.0,Pass,26
11332,tt0154443,8 ½ Women (1999),8 ½ Women,1999,118,5.6,Unknown,144
802217,tt11540284,8-Bit Christmas (2021),8-Bit Christmas,2021,97,6.7,Unknown,104
15677,tt0090570,84 Charing Cross Road (1987),84 Charing Cross Road,1987,100,7.4,Pass,77
3489,tt0411061,88 Minutes (2007),88 Minutes,2007,108,5.9,Fail,79
8224,tt0134273,8MM (1999),8MM,1999,123,6.6,Fail,67
422,tt0056801,8½ (1963),8½,1963,138,8.0,Pass,106
12244,tt0472033,9 (2009),9,2009,79,7.0,Fail,139
27,tt0411705,9 Songs (2004),9 Songs,2004,71,4.7,Fail,144
19494,tt0080319,9 to 5 (1980),9 to 5,1980,109,6.9,Pass,26
24038,tt0094597,976-EVIL (1988),976-EVIL,1988,92,5.1,Unknown,12
8827,tt0875113,99 Francs (2007),99 Francs,2007,100,7.1,Fail,132
283235,tt2891174,99 Homes (2014),99 Homes,2014,112,7.1,Unknown,7
14097,tt0417397,9th Company (2005),9th Company,2005,139,7.0,Unknown,31
10068,tt0091635,9½ Weeks (1986),9½ Weeks,1986,117,5.9,Unknown,144
431530,tt6359956,A Bad Moms Christmas (2017),A Bad Moms Christmas,2017,104,5.6,Pass,34
137563,tt2064713,A Band Called Death (2012),A Band Called Death,2012,96,7.5,Unknown,108
5486,tt0067656,A Bay of Blood (1971),A Bay of Blood,1971,84,6.5,Unknown,22
501907,tt3224458,A Beautiful Day in the Neighborhood (2019),A Beautiful Day in the Neighborhood,2019,109,7.2,Fail,129
453,tt0268978,A Beautiful Mind (2001),A Beautiful Mind,2001,135,8.2,Fail,90
55720,tt1554091,A Better Life (2011),A Better Life,2011,98,7.2,Unknown,120
11471,tt0092263,A Better Tomorrow (1986),A Better Tomorrow,1986,95,7.4,Fail,93
18305,tt0094357,A Better Tomorrow II (1987),A Better Tomorrow II,1987,105,7.1,Fail,97
324807,tt2056771,A Bigger Splash (2015),A Bigger Splash,2015,125,6.4,Unknown,54
11344,tt0456912,A Bittersweet Life (2005),A Bittersweet Life,2005,119,7.5,Fail,20
615666,tt10187208,A Boy Called Christmas (2021),A Boy Called Christmas,2021,106,6.7,Unknown,42
15374,tt0064107,A Boy Named Charlie Brown (1969),A Boy Named Charlie Brown,1969,86,7.3,Unknown,96
4917,tt0072730,A Boy and His Dog (1975),A Boy and His Dog,1975,91,6.4,Fail,102
5902,tt0075784,A Bridge Too Far (1977),A Bridge Too Far,1977,175,7.4,Fail,69
1358,tt0103882,A Brief History of Time (1991),A Brief History of Time,1991,80,7.3,Unknown,62
278236,tt3149038,A Brilliant Young Mind (2014),A Brilliant Young Mind,2014,111,7.1,Fail,8
1607,tt0106489,A Bronx Tale (1993),A Bronx Tale,1993,121,7.8,Unknown,111
22642,tt0052655,A Bucket of Blood (1959),A Bucket of Blood,1959,66,6.7,Fail,22
9487,tt0120623,A Bug's Life (1998),A Bug's Life,1998,95,7.2,Pass,149
15696,tt0036695,A Canterbury Tale (1944),A Canterbury Tale,1944,124,7.3,Pass,63
174316,tt1817081,A Case of You (2013),A Case of You,2013,89,5.6,Pass,89
52264,tt1673702,A Cat in Paris (2010),A Cat in Paris,2010,70,6.9,Pass,49
105763,tt0117050,A Chef in Love (1996),A Chef in Love,1996,100,6.6,Unknown,96
30421,tt0093978,A Chinese Ghost Story (1987),A Chinese Ghost Story,1987,98,7.3,Unknown,93
1816,tt0088915,A Chorus Line (1985),A Chorus Line,1985,118,6.2,Pass,56
25842,tt0029992,A Christmas Carol (1938),A Christmas Carol,1938,69,7.5,Unknown,9
13188,tt0044008,A Christmas Carol (1951),A Christmas Carol,1951,86,8.1,Unknown,57
17979,tt1067106,A Christmas Carol (2009),A Christmas Carol,2009,96,6.8,Unknown,82
311539,tt3688406,A Christmas Horror Story (2015),A Christmas Horror Story,2015,99,5.8,Unknown,140
483104,tt7608418,A Christmas Prince (2017),A Christmas Prince,2017,92,5.8,Pass,15
525041,tt8709036,A Christmas Prince: The Royal Wedding (2018),A Christmas Prince: The Royal Wedding,2018,92,5.4,Unknown,122
850,tt0085334,A Christmas Story (1983),A Christmas Story,1983,93,7.9,Fail,38
929340,tt17220704,A Christmas Story Christmas (2022),A Christmas Story Christmas,2022,98,6.7,Unknown,42
8892,tt0993789,A Christmas Tale (2008),A Christmas Tale,2008,150,6.9,Unknown,61
11247,tt0356470,A Cinderella Story (2004),A Cinderella Story,2004,95,6.0,Pass,0
49982,tt0096908,A City of Sadness (1989),A City of Sadness,1989,157,7.8,Unknown,63
9422,tt0120633,A Civil Action (1998),A Civil Action,1998,115,6.6,Unknown,83
185,tt0066921,A Clockwork Orange (1971),A Clockwork Orange,1971,136,8.2,Fail,45
130739,tt1954701,A Coffee in Berlin (2012),A Coffee in Berlin,2012,86,7.3,Fail,94
134126,tt2371486,A Company Man (2012),A Company Man,2012,96,6.6,Unknown,97
37272,tt0120642,"A Cool, Dry Place (1998)","A Cool, Dry Place",1998,97,6.2,Unknown,39
42741,tt0067900,A Cop (1972),A Cop,1972,98,7.0,Unknown,59
47434,tt0118018,A Couch in New York (1996),A Couch in New York,1996,108,5.9,Unknown,89
2984,tt0061523,A Countess from Hong Kong (1967),A Countess from Hong Kong,1967,120,6.0,Pass,40
66091,tt0090368,A Cruel Romance (1984),A Cruel Romance,1984,142,7.9,Unknown,100
35119,tt0094924,A Cry in the Dark (1988),A Cry in the Dark,1988,120,6.9,Unknown,7
340837,tt4731136,A Cure for Wellness (2016),A Cure for Wellness,2016,146,6.4,Fail,4
66473,tt0028757,A Damsel in Distress (1937),A Damsel in Distress,1937,101,6.8,Unknown,56
48231,tt1571222,A Dangerous Method (2011),A Dangerous Method,2011,99,6.4,Pass,134
409297,tt4805316,A Dark Song (2016),A Dark Song,2016,100,6.2,Fail,4
11939,tt0028772,A Day at the Races (1937),A Day at the Races,1937,111,7.5,Fail,52
38868,tt0342275,A Decade Under the Influence (2003),A Decade Under the Influence,2003,138,7.6,Unknown,62
23538,tt0821442,A Dirty Carnival (2006),A Dirty Carnival,2006,140,7.3,Unknown,16
13702,tt0365125,A Dirty Shame (2004),A Dirty Shame,2004,89,5.1,Pass,144
104896,tt0160216,A Dog of Flanders (1999),A Dog of Flanders,1999,100,6.2,Unknown,122
522518,tt8385474,A Dog's Journey (2019),A Dog's Journey,2019,109,7.5,Pass,39
32688,tt0057318,A Dog's Life (1962),A Dog's Life,1962,108,6.2,Unknown,28
381289,tt1753383,A Dog's Purpose (2017),A Dog's Purpose,2017,100,7.3,Fail,39
508763,tt7616798,A Dog's Way Home (2019),A Dog's Way Home,2019,96,6.7,Unknown,122
40096,tt0271383,A Dog's Will (2000),A Dog's Will,2000,104,8.6,Unknown,78
41206,tt0039335,A Double Life (1947),A Double Life,1947,104,6.9,Unknown,114
32075,tt0097243,A Dry White Season (1989),A Dry White Season,1989,106,7.0,Unknown,47
21849,tt0050371,A Face in the Crowd (1957),A Face in the Crowd,1957,126,8.1,Fail,114
375183,tt1718924,A Family Man (2016),A Family Man,2016,108,6.5,Unknown,122
41852,tt0116275,A Family Thing (1996),A Family Thing,1996,109,7.1,Unknown,83
101519,tt2006040,A Fantastic Fear of Everything (2012),A Fantastic Fear of Everything,2012,100,5.8,Unknown,40
429191,tt5639354,A Fantastic Woman (2017),A Fantastic Woman,2017,104,7.2,Unknown,35
24736,tt0106868,A Far Off Place (1993),A Far Off Place,1993,108,6.5,Unknown,82
22649,tt0022879,A Farewell to Arms (1932),A Farewell to Arms,1932,80,6.4,Unknown,77
85435,tt1640711,A Few Best Men (2011),A Few Best Men,2011,97,5.7,Unknown,40
881,tt0104257,A Few Good Men (1992),A Few Good Men,1992,138,7.7,Fail,62
179111,tt2375574,A Field in England (2013),A Field in England,2013,90,6.2,Fail,28
33035,tt1139319,A Film with Me in It (2008),A Film with Me in It,2008,89,6.6,Unknown,100
623,tt0095159,A Fish Called Wanda (1988),A Fish Called Wanda,1988,108,7.5,Pass,38
391,tt0058461,A Fistful of Dollars (1964),A Fistful of Dollars,1964,99,7.9,Fail,131
1404,tt0380366,A Fond Kiss (2004),A Fond Kiss,2004,104,7.1,Fail,41
61650,tt0040367,A Foreign Affair (1948),A Foreign Affair,1948,116,7.3,Unknown,86
1964,tt0441762,A Friend of Mine (2006),A Friend of Mine,2006,84,6.8,Unknown,83
77514,tt0119952,A Friend of the Deceased (1997),A Friend of the Deceased,1997,100,6.9,Unknown,100
17768,tt0060438,A Funny Thing Happened on the Way to the Forum (1966),A Funny Thing Happened on the Way to the Forum,1966,99,6.8,Unknown,26
391710,tt5566790,A Futile and Stupid Gesture (2018),A Futile and Stupid Gesture,2018,101,6.7,Unknown,104
428449,tt6265828,A Ghost Story (2017),A Ghost Story,2017,92,6.8,Fail,106
252171,tt2326554,A Girl Walks Home Alone at Night (2014),A Girl Walks Home Alone at Night,2014,101,6.9,Pass,124
47964,tt1606378,A Good Day to Die Hard (2013),A Good Day to Die Hard,2013,98,5.2,Fail,105
41006,tt0109920,A Good Man in Africa (1994),A Good Man in Africa,1994,94,5.1,Unknown,74
69778,tt1231586,A Good Old Fashioned Orgy (2011),A Good Old Fashioned Orgy,2011,95,6.1,Unknown,72
15184,tt0379306,A Good Woman (2004),A Good Woman,2004,93,6.4,Pass,9
9726,tt0401445,A Good Year (2006),A Good Year,2006,117,6.9,Unknown,89
15789,tt0113198,A Goofy Movie (1995),A Goofy Movie,1995,78,7.0,Fail,130
124472,tt0109934,A Great Day in Harlem (1994),A Great Day in Harlem,1994,60,7.4,Unknown,96
8194,tt0473488,A Guide to Recognizing Your Saints (2006),A Guide to Recognizing Your Saints,2006,100,6.9,Fail,68
9582,tt0295289,A Guy Thing (2003),A Guy Thing,2003,101,5.6,Unknown,15
269494,tt3697626,A Hard Day (2014),A Hard Day,2014,111,7.2,Unknown,16
704,tt0058182,A Hard Day's Night (1964),A Hard Day's Night,1964,87,7.5,Fail,65
139038,tt2243537,A Haunted House (2013),A Haunted House,2013,86,5.1,Pass,95
184345,tt2828996,A Haunted House 2 (2014),A Haunted House 2,2014,86,4.7,Unknown,95
48150,tt0105682,A Heart in Winter (1992),A Heart in Winter,1992,105,7.5,Pass,61
672208,tt11777738,A Hero (2021),A Hero,2021,127,7.5,Unknown,96
403300,tt5827916,A Hidden Life (2019),A Hidden Life,2019,174,7.4,Unknown,3
127846,tt2216240,A Hijacking (2012),A Hijacking,2012,103,7.1,Fail,35
59,tt0399146,A History of Violence (2005),A History of Violence,2005,96,7.4,Pass,20
34614,tt0381682,A Hole in My Heart (2004),A Hole in My Heart,2004,98,4.4,Unknown,28
33725,tt0052896,A Hole in the Head (1959),A Hole in the Head,1959,120,6.2,Unknown,104
270010,tt2980210,A Hologram for the King (2016),A Hologram for the King,2016,98,6.1,Unknown,76
18923,tt0359423,A Home at the End of the World (2004),A Home at the End of the World,2004,97,6.6,Pass,44
78133,tt0107130,A Home of Our Own (1993),A Home of Our Own,1993,104,7.1,Unknown,39
34840,tt0291538,A Housekeeper (2002),A Housekeeper,2002,91,6.3,Unknown,61
42005,tt0093199,A Hungarian Fairy Tale (1987),A Hungarian Fairy Tale,1987,97,6.4,Unknown,100
37108,tt0113538,A Kid in King Arthur's Court (1995),A Kid in King Arthur's Court,1995,89,4.8,Unknown,6
305943,tt2726552,A Kind of Murder (2016),A Kind of Murder,2016,95,5.3,Unknown,67
